id,serial_number,script,date,numerical_date_start,numerical_date_end,cla_volume,cla_number,provenance,provenance_type,provenance_lat,provenance_lon,contents,support,name,url,tm_number,is_public,created_at,updated_at,deleted_at,image_name,image_copyright,image_source_url,facsimile_url,script_commentary,admin_notes,library_id,city,library,library_lat,library_lon,,
159,1555,Anglo-Saxon Minuscule,VIII–IX,701,900,10,1443,"Written in an Anglo-Saxon centre, presumably in Germany to judge by the script. Later history unknown. The Innsbruck fragments were taken from two bindings once belonging to the 'Wappenturm-Bücherei', which formed part of the old Innsbruck court library.
",2,,,"Ps- Hegesippus, De Bello Iudaico (3.2–3); Flavius Iosephus, Bellum Iudaicum (3.2–3).",Parchment,,,TM 67630,1,2/18/2016 16:23:00,1/4/2017 22:03:00,,,,,,Script is a stately Anglo-Saxon minuscule: **g** is strikingly slender; **r** is rather broad; descenders are of uniform length.,,345,Innsbruck,Universitätsbibliothek,47.269212,11.404102,http://elmss.nuigalway.ie/api/v1/catalogue/159,http://elmss.nuigalway.ie/catalogue/159
168,1566,Anglo-Saxon Minuscule,VIII,701,800,10,1451,"Written probably in England to judge by the script and presumably in the North. Belonged later to Murbach; it is very likely that the three commentaries on Donatus contained in this volume were united at an early date; Murbach provenance is recorded ‘quantum recorder olim monasterii Murbacensis . . .' in a note entered on the inside front cover by P. Trudpert Neugart, the last librarian of St Blasien Abbey before its secularization; the fifteenth-century table of contents is apparently in the hand of Abbot Bartholomew of Andlau (1447–1476) who restored the Murbach library. Acquired for St Blasien in the Black Forest in the late eighteenth century. Brought to St Paul in 1807.",3,,,"Pompeius, Commentarium in Artem Donati; Commentarium in Artem Donati; Sergius, Commentarium in Artem Donati.",Parchment,,,TM 67638,1,2/18/2016 16:23:00,1/4/2017 22:37:53,,,,,,"Script is a pointed Anglo-Saxon minuscule with various cursive elements: **a** is mostly open; **Ᵹ** sometimes resembles a flat-topped **3**; **ꞇ** often is tall and has a flourish for its top; in the group **aꞇ** or **ꞇaꞇ**: the letters run together at the top; ligatures include **ad**, **us** (with suprascript sickle-shaped **u**). Expert, compressed Insular minuscule with longish descenders saec. VIII is used on fol. 1v to enter a hst of liturgical lections. Probationes pennae saec. VIII and VIII–IX on foll. 1 and 20v in uncial (by an Anglo-Saxon hand), Insular majuscule, and Caroline minuscule; among them on fol. 20v 'oxnalip' (in Anglo-Saxon majuscule saec. VIII) and 'thiotker' (in Caroline minuscule saec. IX).","☛Formerly Sankt Paul im Lavanttal, Stiftsbibliothek 25.2.16 (foll. 1–20).",49,Sankt Paul im Lavanttal,Stiftsbibliothek,46.70563,14.86741,http://elmss.nuigalway.ie/api/v1/catalogue/168,http://elmss.nuigalway.ie/catalogue/168
169,1567,Anglo-Saxon Cursive Minuscule,VIII,701,800,10,1452,Written probably in England to judge by the script. Was at Murbach apparently as early as Carolingian times. For later history see [preceding item](http://elmss.nuigalway.ie/catalogue/168).,3,,,Commentarius in Artem Donati.,Parchment,,,TM 67639,1,2/18/2016 16:23:00,1/4/2017 22:39:48,,,,,,"Script, by more than one hand, is pointed Anglo-Saxon minuscule with numerous cursive elements; especially the last lines of chapters and pages are written in rapid cursive full of ligature; **Ᵹ** often resembles a flat-topped **3**; **e** in ligature has its lower bow reversed; various other ligatures. A number of entries in Caroline minuscule showing Anglo-Saxon influence, saec. VIII–IX, on fol. 42. The entry ‘thiot’ probably saec. IX, occurs twice on fol. 21 (cf. ‘thotker’ in CLA [10.1451](http://elmss.nuigalway.ie/catalogue/168). The manuscript has clearly been folded lengthwise, it was probably carried in a pocket before it was bound.","☛Formerly Sankt Paul im Lavanttal, Stiftsbibliothek 25.2.16 (foll. 21–42).",49,Sankt Paul im Lavanttal,Stiftsbibliothek,46.70563,14.86741,http://elmss.nuigalway.ie/api/v1/catalogue/169,http://elmss.nuigalway.ie/catalogue/169
170,1568,Anglo-Saxon Minuscule,VIII,701,800,10,1453,"Written probably in England, presumably in a Northern scriptorium which may also have produced the Pompous (CLA [10.1451](http://elmss.nuigalway.ie/catalogue/168)). Probably belonged to Murbach as early as the year 800. For later history see CLA [1451](http://elmss.nuigalway.ie/catalogue/168).",3,,,"Sergius, Commentarium in Artem Donati; Maximus Victorinus, De Finalibus Metrorum.",Parchment,,,TM 67640,1,2/18/2016 16:23:00,1/4/2017 22:43:21,,,,,,"Script is a pointed Insular, probably Anglo-Saxon, minuscule and has some resemblance to that of the Pompeius text on foll. 1–20 (CLA [10.1451](http://elmss.nuigalway.ie/catalogue/168)): ligatures are numerous; **Ᵹ** in ligature
resembles an elongated **S**; **r** is rather short and often resembles a Caroline form. An entry on fol. 68 is in Caroline minuscule saec. VIII–IX of a type familiar in Murbach. Like the preceding part this manuscript was folded lengthwise. The side margins are rather worn.","☛Formerly Sankt Paul im Lavanttal, Stiftsbibliothek 25.2.16 (foll. 43–75).",49,Sankt Paul im Lavanttal,Stiftsbibliothek,46.70563,14.86741,http://elmss.nuigalway.ie/api/v1/catalogue/170,http://elmss.nuigalway.ie/catalogue/170
177,1574,Anglo-Saxon Majuscule,VIII–IX,701,900,10,1459,Written presumably in England. Later history unknown.,3,,,Liturgica (fragm.).,Parchment,,,TM 67646,1,2/18/2016 16:23:01,1/4/2017 22:58:40,,,,,,"Script is compressed Anglo-Saxon majuscule: **d**, **n**, and **r** are mostly minuscule, **s** both majuscule and minuscule; the **sꞇ** ligature is used.",,49,Sankt Paul im Lavanttal,Stiftsbibliothek,46.70563,14.86741,http://elmss.nuigalway.ie/api/v1/catalogue/177,http://elmss.nuigalway.ie/catalogue/177
222,1618,Anglo-Saxon Majuscule and Minuscule,VIII ex,776,800,10,1500,"Written by the Anglo-Saxon scribe Cutbercht in an important centre on the Continent, to judge by the use of parchment, the type of uncial seen, and the character of the text (teste Köhler), and most likely at Salzburg, to judge by its early corrections and additions, by its relation to the Austrian Codex Millenarius (saec. IX in.) now in Kremsmünster, and by the presence of corrections in what seems to be Cutbercht's hand in a Salzburg manuscript of the Prophets (CLA [10.1445](http://elmss.nuigalway.ie/catalogue/162)). The scribe's subscription on fol. Ov reads: 'Cutberc\h/t. scripsit ista. IIII . evangelia'. The manuscript was no. 46 in the Salzburg cathedral library. Brought to Vienna in 1806.",3,,,"Testamentum Novum, Evangelia (Vulgata).",Parchment,Cuthbert Gospels.,,TM 67688,1,2/18/2016 16:23:01,1/6/2017 0:00:05,,,,,,"Script, apparently all by Cutbercht, is partly large Anglo-Saxon majuscule (especially foll. 1–7, 198–205), partly compressed majuscule verging on minuscule, and often almost pure minuscule which for a few lines on foll. 71 and 109 turns into cursive; the majuscule shows mostly **ꝺ**, **N**, **R**, **S**; uncial **A** frequent in various forms; uncial **M** occurs here and there; **u** is occasionally indicated by a suprascript horizontal flourish; **y** has two forms. Uncial with both **U** and **V** is used on part of fol. 72. A list of liturgical sections was added by a ninth-century Salzburg hand on foll. l*–0v. Corrections by other Carolingian Salzburg hands. The names 'rudtrud liutker' (saec. IX or X) on fol. 2. A Nota Tironiana 'reclamatam' (?) on fol. 124.",,10,Vienna,Österreichische Nationalbibliothek,48.208174,16.373819,http://elmss.nuigalway.ie/api/v1/catalogue/222,http://elmss.nuigalway.ie/catalogue/222
237,1633,Anglo-Saxon Minuscule,VIII–IX,701,900,10,1514,"Written presumably in an Anglo-Saxon centre on the Continent, to judge by the script. The fragment was used as a jacket for a book which in 1573 was at Innsbruck according to a note on fol. 1.",2,,,Vita S Patricii (fragm.).,Parchment,,,TM 67701,1,2/18/2016 16:23:01,1/7/2017 17:36:02,,,,,,"Script is an elegant pointed Anglo-Saxon minuscule: **d** has two forms; descenders of **p**, **q**, **r**, and **ꞅ** are very long; the oblique of **z** thrusts boldly below the line. Numerous corrections by a Caroline hand saec. X–XI.",,10,Vienna,Österreichische Nationalbibliothek,48.208174,16.373819,http://elmss.nuigalway.ie/api/v1/catalogue/237,http://elmss.nuigalway.ie/catalogue/237
238,1634,Anglo-Saxon Minuscule,VIII,701,800,10,1515,"Written in England, and presumably in the North, or possibly in an Anglo-Saxon foundation on the Continent. Later history unknown.",3,,,"Eusebius-Rufinus, Historia Ecclesiastica (3.37–39).",Parchment,,,TM 67702,1,2/18/2016 16:23:01,1/7/2017 17:37:45,,,,,,"Script is mainly vigorous Anglo-Saxon minuscule similar to the script of Paris Lat. 10399 (fol. 50) (CLA [5.596](http://elmss.nuigalway.ie/catalogue/963)): open **a** is mostly majuscule but occasionally it has a form in which the second bow lacks its upper stroke; the lower part of **Ᵹ** swings to the right; **r** is short; both **s** and **ꞅ** are used; **aꞇ** often have a common top stroke. The last few lines of each page are in pointed, almost cursive minuscule with open **a**.",,10,Vienna,Österreichische Nationalbibliothek,48.208174,16.373819,http://elmss.nuigalway.ie/api/v1/catalogue/238,http://elmss.nuigalway.ie/catalogue/238
274,1671,Anglo-Saxon Majuscule,VIII,701,800,10,1549,Written presumably in England. In the late Middle Ages the leaf was folded vertically with the recto outside and used as a jacket for a booklet of narrow size.,,,,Testamentum Novum (Vulgata) Lc 11.10–29.,Parchment,,,TM 67716,1,2/18/2016 16:23:02,11/7/2016 20:07:15,,,,,,"Script is Anglo-Saxon majuscule with **d** and **ꝺ**, **n** more frequent than **N** and **R** than **r**, and **S** regularly; the tail of **Ᵹ** ends in a small wedge. Minor eighth-century corrections.",,35,Brussels,Bibliothèque Royale,50.850346,4.351721,http://elmss.nuigalway.ie/api/v1/catalogue/274,http://elmss.nuigalway.ie/catalogue/274
275,1672,Anglo-Saxon Majuscule,VIII,701,800,10,1550,"Written in an Insular, presumably Anglo-Saxon, centre on the Continent, to judge by the kind of skin used. The twelfth-century manuscript of Ailred of Rievaulx and Bernard of Clairvaux to which the surviving leaves are attached comes from the monastery of Alne. Later it formed no. 4629 in the Phillipps collection, whence it was acquired for the Bibliotheque Royale in 1888.",,,,"Testamentum Vetus (Vulgata), Iudices (20.43-21.18), Ruth (2.6-16); 
Testamentum Novum (Vulgata) Lc, Act (2.6–16).",Parchment,,,TM 67717,1,2/18/2016 16:23:02,11/7/2016 20:15:28,,,,,,"Script is a compressed Insular, presumably Anglo-Saxon, majuscule **ꝺ** is used more frequently than **d**; **n** and **ꞅ** are regularly minuscule; **r** has both majuscule and minuscule forms; ligatures with **e** are frequent. The capitulatio on fol. 138r-v is in somewhat smaller script.",,35,Brussels,Bibliothèque Royale,50.850346,4.351721,http://elmss.nuigalway.ie/api/v1/catalogue/275,http://elmss.nuigalway.ie/catalogue/275
276,1673,Mixed Anglo-Saxon Minuscule,VIII²,751,800,10,1551,"Written in an Anglo-Saxon centre on the Continent, to judge by the use of parchment. Rewritten in the thirteenth century with the passions of the apostles and St Margaret.",,,,"Passiones apostolorum (S. Thomas, S. Petrus and Paulus) (fragm.)",Parchment,,,TM 67718,1,2/18/2016 16:23:02,11/7/2016 20:16:48,,,,,,"Script is Anglo-Saxon minuscule with majuscule admixture: **a** has the majuscule form but open at the top; both **ꝺ** and **d** occur; also **r** and **R**. Script is most clearly seen on fol. 91v, in part not rewritten, and on fol. 60v in the inner margin.","☛ Gamber, CLLA 278 g.",35,Brussels,Bibliothèque Royale,50.850346,4.351721,http://elmss.nuigalway.ie/api/v1/catalogue/276,http://elmss.nuigalway.ie/catalogue/276
283,1680,Anglo-Saxon Minuscule,VIII¹,701,750,10,1558,"Written in an Anglo-Saxon centre with Northumbrian connections on the Continent or possibly in Northumbria itself. The tradition that the manuscript was written by the two saints Harlindis and Reglindis, the founders of the nunnery of Aldeneik, is hardly tenable in view of the inscription on fol. 128v which reads: 'finite uolumine deposco ut quicumque ista legerint pro laboratore huius operis depraecentur'. The manuscript may, however, have belonged to this monastery from a very early date. It is now preserved with the rest of the treasures of Aldeneik in the neighbouring church of St Catherine at Maaseik.",,,,Testamentum Novum. Evangelia.,Parchment,Codex Eyckensis. Maaseik Gospels.,,TM 67725,1,2/18/2016 16:23:02,10/31/2016 11:42:52,,,,,http://depot.lias.be/delivery/DeliveryManagerServlet?change_lng=en&dps_custom_att_1=staff&dps_pid=IE5258806&mirador=true,"Script is Anglo-Saxon minuscule with some majuscule elements recalling the Karlsruhe Gregory (CLA [8.1095](http://elmss.nuigalway.ie/catalogue/1561)): in some parts of the manuscript both **a** and open **a** are used, in other parts only **a**; **ꝺ** and **d** occur; **n** is mostly minuscule; **r** and **ꞅ** are regularly minuscule: the ligatures **ei** and **ꞅi** (both with the **i** hanging down as a semicircle) are frequent. Corrections in Anglo-Saxon minuscule saec. VIII, by several hands.","☛provenance: Echternach. v. M. C. Ferrari e.a., Die Abtei Echternach 698-1998, Luxembourg 1999, p. 74",59,Maaseik,Church of St Catherine,51.098391,5.783762,http://elmss.nuigalway.ie/api/v1/catalogue/283,http://elmss.nuigalway.ie/catalogue/283
284,1681,Anglo-Saxon Majuscule,VIII¹,701,750,10,1559,"Written presumably in a continental scriptorium under Anglo-Saxon influence, possibly in the scriptorium which produced the volume of the Gospels with which the leaves are now bound. For provenance see [preceding item](http://elmss.nuigalway.ie/catalogue/283).",,,,"Testamentum Novum. Eusebius, Canones Evangeliorum",Parchment,Codex Eyckensis. Maaseik Gospels.,,TM 67726,1,2/18/2016 16:23:02,10/31/2016 11:43:09,,,,,http://depot.lias.be/delivery/DeliveryManagerServlet?change_lng=en&dps_custom_att_1=staff&dps_pid=IE5258806&mirador=true,,,59,Maaseik,Church of St Catherine,51.098391,5.783762,http://elmss.nuigalway.ie/api/v1/catalogue/284,http://elmss.nuigalway.ie/catalogue/284
293,1691,Anglo-Saxon Majuscule,VIII,701,800,10,1567,"Written apparently in England, presumably in the South to judge by the ornamentation. It was in Germany certainly by the tenth century. Later used for book-binding. Seventeenth-century stampillas of the Lobkowitz library at Roudnice stand on foll. 1-2v.",,,,"Testamentum Novum (Vulgata), Evangelia (Mc 14.3-21; 14.62-15.10).",Parchment,,,TM67734,1,2/18/2016 16:23:02,11/6/2016 13:57:56,,,,,,"Script is Insular majuscule of a rather compressed type verging on minuscule: **d** is mostly minuscule and **n** regularly so; majuscule **R** prevails; majuscule **S** occurs only after minuscule **ꞅ** (puꞅsillum, diꞅcipuliꞅ suiꞅ, etc.); both open **a** and **a** are used. A correction on fol. 1v and liturgical lection-marks in the Passion are in tenth-century German minuscule.",,30,Prague,University of Knihovna,50.075538,14.437801,http://elmss.nuigalway.ie/api/v1/catalogue/293,http://elmss.nuigalway.ie/catalogue/293
306,1707,Anglo-Saxon Majuscule,VIII¹,701,750,10,1578,"Written apparently in North England, to judge by script and ornamentation, and copied from an ancient exemplar which had the subscription: 'Feliciter iunius laurentius relegi' (fol. 29). The shelf-mark in the familiar St.-Denis librarian's hand is seen on foll. 1-2 of the first part of the composite volume; it throws no light on the provenance of the part that concerns us. The entry 'P 43’ at the top of fol. 1 is in the hand of Paul Petau. Later in the collection of Queen Christina of Sweden and then in that of Isaac Vossius.",,,,"Plinius Maior, Naturalis historia (2.196-end; 3.1-65, 92-end; 4.1-76, 86-107, 117-end; 5.1-25, 125-136; 6.40-51).",Parchment,,,TM 67743,1,2/18/2016 16:23:02,11/7/2016 20:45:37,,,,,,"Script is a compressed yet bold Anglo-Saxon majuscule of Northumbrian type: **a** at end of a word occasionally has the uncial form; **d**, **n**, **s** are more frequent than **ꝺ**, **N**, **ꞅ**; minuscule **r** is the rule; ligatures include **bꞅ** (in an abbreviation for bus) and **ꞇem**; final lines of some columns are in pointed Anglo-Saxon minuscule (foll. 24v, 25, 30), with **e** in the ligature **em** having its lower bow reversed (fol. 24v). Marginal notes in small minuscule or in the script of the text. A few contemporary corrections.",,16,Leiden,Universiteitsbibliotheek,52.160114,4.49701,http://elmss.nuigalway.ie/api/v1/catalogue/306,http://elmss.nuigalway.ie/catalogue/306
324,1812,Anglo-Saxon Minuscule,VIII–IX,701,900,11,**1339,"Written in an Anglo-Saxon centre in Germany, probably in the Main region. The dismembered volume was used for book-bindings. One folio, the last leaf of quire 5, was acquired by the Vienna Library. The Glazier leaf formerly belonged to Max Kammerer of Wartenberg near Munich and was purchased by William S. Glazier of New York in 1954. ",,,,Testamentum Novum. Evangelia (fragm.).,Parchment,,,TM 67482,1,2/18/2016 16:23:02,12/22/2016 16:34:24,,,,,,"Script is an expert Anglo-Saxon minuscule of a distinct type, with characteristically long descenders: **a** has two forms; **i**-longa is used initially; noteworthy is the **et**-ligature resemblmg a combmed o and tall S; **c** and **u** occur with subscript **i**.","☛Formerly Munich, Bayerische Staatsbibliothek CLM 29159 /5.",70,Würzburg,Universitätsbibliothek,49.791304,9.953355,http://elmss.nuigalway.ie/api/v1/catalogue/324,http://elmss.nuigalway.ie/catalogue/324
326,1731,Anglo-Saxon Minuscule,VIII–IX,701,900,11,**1372,Written presumably in an Anglo-Saxon centre in Germany. The fragments were used for binding accounts of the monastery of Neustadt on the Main for the years 1671–3. The bindings were possibly made in Würzburg. The St Petersburg leaf belonged in the nineteenth century to the Historischer Verein at Würzburg and later entered the collection of Prof. N. P. Likhachev (†1936) of St Petersburg.,,,,Sacramentarium Gelasianum (fragm.).,Parchment,,,TM 67510,1,2/18/2016 16:23:02,12/22/2016 16:37:57,,,,,,"Script, by several hands, is Anglo-Saxon minuscule with long descenders: **a** and **d** have two forms; **g** has a pointed chest; **l** (in **ll** the second **l**) regularly descends far below the line; the last stroke of final **m** is often prolonged; ligatures include **tio**. The uncial of the headings is not typically English. For other details see under Wertheim (CLA [9.1372](http://elmss.nuigalway.ie/catalogue/1874)).","☛Formerly Munich, Bayerische Staatsbibliothek CLM 29163 b. ☛Formerly Wertheim am Main, Fürstlich Löwenstein-Wertheim-Rosenbergsches Archiv fr. 1 (lit. B. no. 1686 a).",376,Würzburg,Staatsarchiv,49.79,9.93,http://elmss.nuigalway.ie/api/v1/catalogue/326,http://elmss.nuigalway.ie/catalogue/326
339,1722,Anglo-Saxon Minuscule,VIII–IX,701,900,11,1589,"Written in South England or in a German scriptorium under Anglo-Saxon influence. The ascription to York is a mere conjecture without evidence. Noteworthy are the words 'EPISCO' at the end of the colophon. The fragments were all used in bindings, with the following titles still showing: 'Das Leben Konigin Magdalena. 1625 Inspruck' (on the Budapest Museum fragment), 'Latine. 256. L Mirabilia urbis Romae' (Budapest University fragment), and 'Nicolai Macchiavelli historia. 1610. Argentorati' (Berlin fragment). Jacob Grimm acquired the Berlin bifolium from 'Hassenpflug', probably the Johann Hassenpflug who was Stadtschultheiss in Hanau and later Regierungsdirektor in Kassel.",,,,"Beda, Vita S. Cuthberti Metrica (fragm.).",Parchment,,,TM 67754,1,2/18/2016 16:23:02,11/20/2016 11:54:20,,,,,,"Script is a neat and expert Anglo-Saxon minuscule of a distinct type practised in South England and in German centres under Anglo-Saxon influence: long descenders are striking; **a** and **d** have two forms; **e** is
theta-shaped; **Ᵹ** has a pointed chest; **i** occurs subscript; the stem of final **ꞇ** often ends in a comma-like thickening; the **ti**-ligature resembles **q** with a horn at the top.",,321,Budapest,University Library,47.497912,19.040235,http://elmss.nuigalway.ie/api/v1/catalogue/339,http://elmss.nuigalway.ie/catalogue/339
